0,1,2,3
"Senin - Selasa (10:00 - 17:00), Kamis - Minggu (10:00 - 17:00), Rabu Tutup",,021 55684129,"4.3,4.3,3.8,4.4,4.5"
"Selasa - Minggu (10:00 - 19:00), Senin Tutup",,021 27510233,"4.4,4.3,4.0,4.2,4.2"
Senin - Minggu (10:00 - 21:00),,021 29410338,"4.7,4.1,3.9,4.2,4.2"
Senin - Minggu (11:00 - 21:00),,021 7181216,"4.4,4.2,4.1,4.5,4.3"
Senin - Minggu (11:00 - 21:00),,081318192057,"4.2,4.5,4.4,4.4,4.2"
Senin - Minggu (10:00 - 22:00),,0811906144,"4.5,4.3,4.1,4.4,4.3"
Senin - Minggu (11:00 - 22:00),,021 6629324,"4.4,4.6,3.9,4.1,4.4"
"Senin - Jumat (09:00 - 21:00), Sabtu - Minggu (10:00 - 22:00)",,022 20502953,"4.2,4.6,3.8,4.4,4.6"
Senin - Minggu (11:30 - 21:00),,021 27933565,"4.3,4.4,3.7,4.1,4.4"
"Senin - Kamis (08:00 - 23:00), Jumat - Sabtu (08:00 - 24:00), Minggu (08:00 - 23:00)",,021 23581818,"4.3,4.5,3.5,4.2,4.3"
Senin - Minggu (11:00 - 21:00),,021 29627771,"4.2,4.7,3.6,4.4,4.4"
Senin - Minggu (10:00 - 22:00),,081932371138,"4.1,4.6,4.2,4.1,4.3"
Senin - Minggu (10:00 - 22:00),,021 50813596,"4.4,4.0,4.3,4.2,4.3"
Senin - Minggu (10:00 - 21:00),,08111101663,"4.4,4.3,3.9,4.1,4.3"
Senin - Minggu (09:00 - 21:00),,085157872228,"4.3,4.1,4.5,4.5,4.3"
"Senin - Jumat (09:00 - 21:00), Sabtu (09:00 - 22:00), Minggu Tutup",,0251 7545475,"4.1,4.4,4.0,4.2,3.9"
Senin - Minggu (11:00 - 22:00),Your entertainment space ,021 27083381,"4.1,4.5,3.8,4.4,4.4"
"Selasa - Minggu (12:00 - 15:00, 17:00 - 20:00), Senin Tutup",,082117068943,"4.7,4.9,4.0,4.6,4.7"
Senin - Minggu (08:00 - 22:00),,082218000155,"4.1,4.5,3.8,4.0,4.2"
Senin - Minggu (09:00 - 21:00),,021 27515207,"4.4,4.3,3.9,4.2,4.4"
"Senin - Minggu (11:30 - 15:00, 18:00 - 24:00)",,021 22771888,"4.5,4.7,3.8,4.6,4.6"
Senin - Minggu (10:00 - 21:00),,031 8480367 ,"4.3,4.3,4.1,4.0,4.1"
"Senin - Selasa (11:00 - 21:00), Rabu - Jumat (09:00 - 21:00), Sabtu (07:00 - 21:00), Minggu (07:00 - 17:00)",,081280079184,"4.4,4.4,4.3,4.6,4.1"
Senin - Minggu (10:00 - 22:00),,031 99143894,"4.5,4.1,4.1,4.4,4.2"
Senin - Minggu (10:00 - 21:00),,021 5725276,"4.2,4.5,3.8,4.3,4.5"
Senin - Minggu (11:00 - 20:00),,021 75909278,"4.3,4.1,4.0,4.2,4.5"
"Senin - Jumat (07:00 - 21:00), Sabtu - Minggu (08:00 - 21:00)",,021 72793835,"4.1,4.6,3.8,4.2,4.2"
"Selasa - Kamis (11:00 - 21:00), Jumat (15:00 - 21:00), Sabtu - Minggu (11:00 - 21:00), Senin Tutup",,081586350071,"4.3,4.3,4.6,4.1,4.3"
"Senin - Kamis (09:00 - 22:00), Jumat - Sabtu (09:00 - 23:00), Minggu (09:00 - 22:30)",,021 22664275,"4.2,4.2,4.1,4.2,4.2"
"Senin - Minggu (12:00 - 15:00, 17:30 - 21:00)",,021 23583896,"4.4,4.5,3.6,4.6,4.7"
"Senin - Jumat (11:00 - 20:00), Sabtu - Minggu (11:00 - 21:00)",,021 2295 6067,"4.3,4.4,4.0,4.4,4.5"
Senin - Minggu (10:00 - 22:00),,021 21251533,"4.2,4.7,3.9,4.1,4.4"
Senin - Minggu (09:00 - 21:00),,0895634475557,"4.2,4.2,4.8,3.9,4.2"
"Senin - Jumat (09:00 - 21:00), Sabtu (08:00 - 21:00), Minggu (07:00 - 21:00)",,021 39708411,"4.3,4.2,3.8,4.2,4.3"
Senin - Minggu (10:00 - 22:00),,021 22693354,"4.1,4.5,4.2,4.4,4.4"
Senin - Minggu (14:00 - 24:00),,082112033331,"4.7,4.1,4.1,4.4,4.4"
"Senin - Kamis (09:00 - 22:00), Jumat (09:00 - 23:00), Sabtu (08:00 - 23:00), Minggu (08:00 - 22:00)",,082311920657,"4.2,4.7,4.3,4.3,4.3"
"Senin - Jumat (10:00 - 24:00), Sabtu (10:00 - 02:00), Minggu (10:00 - 24:00)",,031 5634682,"4.6,4.2,4.3,4.3,4.5"
Senin - Minggu (11:00 - 20:00),,021 22564206,"4.7,4.7,4.5,4.7,4.8"
"Senin - Kamis (11:00 - 15:00, 17:00 - 21:00), Jumat - Sabtu (12:00 - 16:00, 18:00 - 22:00), Minggu (11:00 - 15:00, 17:00 - 21:00)","Maikeru - Japanese Grill and Bar is a Japanese restaurant with a modern izakaya
concept that serves authentic - modern Japanese food (No Pork No Lard) such as
yakitori, bento and handcraft drinks such as cocktails, mocktails, and also provides draft
beer.
And also with ""Open Kitchen"" concept, you can see Chef making products.
Maikeru is suitable for lunch and hangout with friends after work or suitable for those
who wants to chillax.
Maikeru provides a VIP room that is suitab...le for meetings or special events with family
and colleagues.  selengkapnya",08111730228,"4.2,4.4,3.5,4.6,4.5"
Senin - Minggu (08:00 - 22:00),,031 99441098,"4.6,4.6,4.1,4.4,4.7"
Senin - Minggu (10:00 - 22:00),,021 45864981,"4.4,4.4,4.0,4.2,4.3"
Senin - Minggu (10:00 - 21:00),,021 5823460,"4.7,4.1,4.1,4.3,4.3"
"Senin - Jumat (10:00 - 21:00), Sabtu (11:00 - 22:00), Minggu (10:00 - 21:00)",Lengkapi Kebersamaan di Gyumbox! The best Sei Wagyu in Town.,089525766676,"4.3,4.3,3.9,4.7,4.4"
Senin - Minggu (07:30 - 22:00),,081314000780,"4.3,4.2,3.9,4.3,4.4"
Senin - Minggu (07:00 - 21:00),,021 72788001,"4.5,4.4,3.6,4.3,4.4"
Senin - Minggu (11:00 - 23:00),,031 99541110,"4.4,4.6,3.9,4.2,4.4"
Senin - Minggu (07:00 - 18:00),,08118803998,"4.5,3.9,4.2,3.9,4.0"
Senin - Minggu (11:00 - 20:00),,021 50912000,"4.1,4.3,3.7,4.8,4.6"
Senin - Minggu (11:00 - 21:00),,08129904299,"4.1,4.5,4.1,4.4,4.5"
Senin - Minggu (10:00 - 21:00),,021 22338308,"4.3,4.4,3.7,4.1,4.4"
"Senin - Kamis (09:00 - 22:00), Jumat - Minggu (09:00 - 23:00)",,022 2033909,"4.1,4.5,3.8,4.4,4.5"
Senin - Minggu (10:00 - 21:00),,021 50116010,"4.4,4.2,4.2,4.5,4.1"
Senin - Minggu (11:00 - 20:30),,08119251910,"4.4,4.4,4.0,4.2,4.3"
Senin - Minggu (08:00 - 19:00),,08111293339,"4.2,4.5,4.2,3.9,4.4"
"Senin - Kamis (11:00 - 22:00), Jumat - Minggu (11:00 - 23:30)",,087744213320,"4.2,4.6,4.2,3.8,4.3"
"Senin - Minggu (06:00 - 10:00, 12:00 - 14:00, 18:00 - 20:30)",,021 5747777,"4.2,4.5,3.6,4.3,4.5"
Senin - Minggu (07:00 - 21:00),,021 22655683,"4.5,4.4,4.6,4.5,4.5"
Senin - Minggu (09:00 - 21:00),,021 29703333,"4.0,4.7,3.7,4.2,4.7"
Senin - Minggu (07:00 - 22:00),,08111565689,"4.3,4.3,4.1,4.3,4.3"
Senin - Minggu (08:00 - 21:00),,081210682399,"4.4,4.2,4.1,4.0,4.3"
Senin - Minggu (10:00 - 20:00),,08111080819,"4.6,3.6,4.2,4.2,4.3"
Senin - Minggu (10:00 - 21:00),,021 27096258,"4.2,4.2,4.1,4.4,4.2"
Senin - Minggu (11:00 - 21:00),,022 20526254,"4.4,4.3,3.8,4.1,4.1"
Senin - Minggu (11:00 - 20:00),,085779145060,"4.0,4.2,4.1,4.5,4.5"
Senin - Minggu (07:00 - 22:00),,022 4212582,"4.4,4.4,3.7,4.0,4.3"
Senin - Minggu (06:30 - 21:00),,021 25501993,"4.1,4.4,3.6,4.3,4.3"
"Senin - Jumat (10:00 - 15:00, 18:00 - 21:00), Sabtu (09:00 - 15:00, 18:00 - 21:00), Minggu (08:00 - 15:00, 18:00 - 21:00)",,021 62201900,"4.4,4.3,3.7,4.1,4.3"
Senin - Minggu (11:00 - 20:00),,021 57973272,"4.3,4.5,3.6,4.2,4.5"
Senin - Minggu (08:00 - 21:00),,021 57851751 ext. 190,"4.1,4.6,3.7,4.2,4.1"
Senin - Minggu (07:00 - 21:00),,087880407999,"4.2,4.2,3.9,4.1,4.1"
"Senin - Minggu (12:00 - 15:00, 18:00 - 21:00)",,031 5458888,"4.7,5.0,4.2,4.3,4.7"
Senin - Minggu (10:00 - 22:00),,031 5957997,"4.3,4.5,3.7,4.6,4.6"
Senin - Minggu (10:00 - 21:00),,021 27893368,"4.6,4.0,3.8,4.1,4.2"
Senin - Minggu (10:00 - 21:00),,08999232398,"4.5,4.4,3.9,4.4,4.4"
Senin - Minggu (10:00 - 22:00),,021 23580019,"4.7,3.8,4.3,3.8,4.0"
Senin - Minggu (10:00 - 19:30),,085888719375,"4.3,4.2,4.6,4.7,4.7"
Senin - Minggu (10:00 - 22:00),,087725262721,"4.1,4.5,3.7,4.3,4.6"
Senin - Minggu (11:00 - 18:00),,0251 8473223,"4.3,4.6,4.2,4.1,3.9"
"Senin - Kamis (11:00 - 20:00), Jumat (13:00 - 20:00), Sabtu - Minggu (11:00 - 20:00)",,082144949495,"4.0,4.7,3.7,3.8,4.4"
Senin - Minggu (10:00 - 22:00),,021 23580476,"4.5,4.2,3.6,4.1,4.2"
24 Jam,,021 55911777,"5.0,4.8,4.0,4.7,4.8"
"Senin - Kamis (12:00 - 20:00), Jumat - Minggu (10:00 - 20:00)",,085773814656,"4.8,4.8,4.8,4.4,4.6"
Senin - Minggu (07:00 - 22:00),,081377775542,"4.3,4.1,4.2,4.3,4.1"
Senin - Minggu (08:00 - 23:00),,08176969030,"4.2,4.4,4.0,4.3,4.1"
"Senin - Jumat (08:00 - 21:00), Sabtu - Minggu (07:00 - 21:00)",,081320208888,"4.1,4.4,4.2,4.3,4.3"
Senin - Minggu (10:00 - 22:00),,08113307015,"4.7,3.7,4.4,4.1,4.3"
"Senin - Kamis (10:00 - 23:00), Jumat - Sabtu (10:00 - 24:00), Minggu (10:00 - 23:00)",,021 56985183,"4.4,4.3,3.5,4.1,4.3"
Senin - Minggu (10:00 - 22:00),,021 57905861,"4.4,4.2,3.7,4.0,4.1"
"Senin - Kamis (11:00 - 20:00), Jumat - Minggu (09:00 - 21:00) ",,022 20507169,"4.1,4.3,4.0,4.7,4.5"
Senin - Minggu (09:00 - 22:00),,08973368040,"4.3,4.2,4.2,4.4,4.5"
Senin - Minggu (10:00 - 19:00),,082114633590,"4.7,3.9,4.0,4.3,4.4"
"Selasa - Minggu (10:00 - 21:00), Senin Tutup",,081212123153,"5.0,3.6,4.8,3.8,4.3"
Senin - Minggu (11:00 - 23:00),,021 27936310,"4.6,4.1,3.8,4.4,4.5"
"Senin - Jumat (11:00 - 20:00), Sabtu - Minggu (11:00 - 21:00)",,021 45853634,"4.1,4.3,4.2,4.4,4.6"
Senin - Minggu (10:00 - 22:00),,087775549555,"4.6,4.0,4.4,4.0,4.1"
Senin - Minggu (10:00 - 21:00),,081280606036,"4.5,4.0,3.9,4.4,4.3"
Senin - Minggu (08:00 - 22:00),,021 2702660,"4.2,4.4,3.7,4.1,4.4"
"Senin - Kamis (11:00 - 22:00), Jumat - Sabtu (11:00 - 23:00), Minggu (11:00 - 22:00)",,021 29053205,"4.4,4.1,3.7,4.3,4.4"
Senin - Minggu (11:00 - 21:00),,081338833308,"4.1,4.6,3.4,4.0,4.2"
Senin - Minggu (10:00 - 22:00),,021 2295 6067,"4.6,4.4,4.2,4.2,4.2"
Senin - Minggu (10:00 - 22:00),,021 2295 6067,"4.6,4.2,4.4,4.1,4.3"
Senin - Minggu (08:00 - 24:00),,08170700703,"4.0,4.5,4.1,4.0,4.1"
